1,74,2,76,5,75,6
2,74,1,7,6,3,73
3,7,2,73,72,8
4,68,10,9,71,70,69
5,12,77,13,76,1,6
6,7,2,13,14,5,1
7,2,6,14,8,15,3
8,7,15,71,72,16,3,9
9,4,10,16,17,71,8
10,68,4,9,17,18,11
11,18,19,66,68,10,67
12,20,21,78,5,77,13
13,21,22,14,12,5,6
14,23,22,15,13,6,7
15,23,14,8,7,16,24
16,9,17,15,8,24,25
17,9,16,10,18,26,25
18,11,19,27,10,17,26
19,98,28,11,18,27,66
20,21,12,29,78,79
21,30,22,13,20,12,29
22,21,30,13,31,23,14
23,31,22,14,15,32,24
24,32,33,25,23,16,15
25,26,34,33,24,17,16
26,34,35,25,27,18,17
27,35,36,26,19,18,28
28,98,19,27,36,97
29,79,80,21,20,30,37
30,21,22,31,38,29,37
31,30,38,23,22,39,32
32,39,40,24,33,31,23
33,24,32,40,41,25,34
34,42,35,26,25,41,33
35,34,42,27,36,26,43
36,27,35,96,44,28,97,43
37,46,38,45,80,30,29
38,37,46,31,30,39,47
39,40,32,38,31,48,47
40,39,32,41,33,49,48
41,40,33,42,34,49,50
42,34,35,51,43,41,50
43,51,42,35,36,52,44
44,96,36,95,52,43
45,80,81,37,82,53,46
46,37,38,53,45,47,54
47,46,38,54,55,39,48
48,49,56,39,40,55,47
49,41,40,50,57,48,56
50,42,41,49,51,58,57
51,43,42,58,93,50,52
52,93,94,95,44,43,51
53,84,59,83,82,54,45,46
54,53,59,47,55,60,46
55,47,54,60,61,48,56
56,62,57,49,48,55,61
57,62,63,58,50,56,49
58,57,63,51,93,50,64
59,84,53,54,85,86,60
60,55,54,61,59,86,87,88
61,55,60,88,62,56
62,63,57,56,90,88,61
63,62,57,58,64,90,91
64,63,58,93,92,91
65,67,69,66,98,96
66,11,19,67,65,98
67,69,68,66,11,65
68,4,10,11,69,67
69,70,4,68,67,65
70,74,73,72,75,71,4,69
71,8,72,4,9,70
72,73,70,8,71,3
73,74,70,72,2,3
74,1,2,73,70,75
75,76,99,1,74,70
76,5,77,1,99,75
77,99,78,12,5,76
78,77,99,20,12,79,81
79,80,29,20,78,81
80,79,29,45,81,37
81,83,82,45,80,79,78
82,83,81,53,45
83,82,81,53,85,84
84,59,53,85,83
85,84,83,59,86,89,87
86,59,85,60,87
87,89,85,88,60,86
88,62,61,87,60,89,90
89,91,90,92,87,85,88
90,91,63,89,62,88
91,90,63,89,64,92
92,94,93,64,91,89
93,94,52,51,58,92,64
94,93,52,95,92
95,52,94,96,44
96,36,44,98,97,65,95
97,36,28,96,98
98,19,28,66,96,97,65
99,77,78,76,75
