1,139,206,21,3,131,4
2,205,181,150,15,16,17
3,23,22,1,21,40,4
4,24,23,5,3,1,131
5,24,4,25,131,197,6
6,7,148,5,197,26,25
7,6,148,27,8,182,26
8,81,27,63,7,182
9,204,10,100,80,157,28,129
10,204,11,29,9,28
11,10,204,29,12,30,158
12,158,152,30,11,31,13
13,152,151,14,32,31,12
14,32,13,151,205,15,33
15,34,33,205,2,14,16
16,17,35,2,15,34
17,16,35,36,150,18,2
18,37,19,199,150,17,36
19,37,18,198,20,199,38
20,39,21,206,19,198,38
21,39,20,206,1,40,3
22,23,3,42,41,52,40
23,24,4,22,3,42,43
24,23,4,5,25,44,43
25,5,24,44,45,6,26
26,27,45,6,25,7
27,81,8,7,45,26
28,29,46,10,9,100,99,98
29,46,28,11,10,30
30,47,46,31,12,11,29
31,13,32,48,47,30,12
32,14,13,48,49,33,31
33,15,34,50,32,49,14
34,15,33,50,35,16
35,16,17,36,51,59,50,57,34
36,35,17,37,51,18
37,18,19,51,38,36
38,51,37,39,19,20
39,20,21,40,51,38
40,51,39,21,22,52,3
41,42,22,52,53
42,41,22,54,53,43,23
43,44,54,42,23,24
44,54,43,45,25,24
45,81,27,54,44,26,25,101
46,58,55,29,28,30,47,98
47,30,46,48,55,31
48,49,56,55,32,47,31
49,48,56,50,57,32,33
50,49,57,35,34,33
51,40,39,37,38,35,59,36,52
52,22,40,51,41
53,54,42,41
54,44,43,53,42,45
55,58,46,48,56,47
56,48,49,59,58,55,57
57,49,50,56,59,35
58,46,55,56,59,98,118
59,56,58,35,51,57
60,66,202,201,207,67,68
61,141,62,124,123,72,71
62,74,73,141,186,61,72
63,82,81,8,182,176,64
64,176,63,83,82,65,177
65,64,177,83,84,66,202
66,60,202,84,65,67,85
67,66,60,68,85,86,87
68,60,67,87,88,207,69
69,70,155,207,68,89,88
70,69,155,124,71,90,89
71,124,70,90,72,91,61
72,91,71,62,73,61
73,62,74,92,91,72
74,75,186,62,73,92,93
75,74,186,94,93,132,76
76,127,132,77,95,75,94
77,96,95,76,78,208,127
78,164,208,79,77,97,96
79,80,99,164,78,97,98
80,129,164,99,79,100,9
81,63,82,27,8,45,101
82,63,81,64,83,101
83,64,82,65,101,84
84,102,101,85,83,65,66
85,103,102,84,66,67,86
86,87,105,104,67,85,103
87,86,105,67,68,88,106
88,107,106,87,68,69,89
89,69,88,107,70,90
90,71,70,89,107,91
91,73,92,108,107,72,71,90
92,74,73,93,108,91
