1,7,2,13
2,7,1,8,3
3,8,9,4,2
4,3,9,10,5
5,11,6,10,4
6,11,5,12
7,8,14,2,1,13
8,7,14,3,9,15,2
9,3,8,4,15,16,10
10,16,17,9,4,11,5
11,6,5,10,17,18,12
12,11,6,18,24
13,7,1,14,19,25
14,8,7,15,20,13,19
15,21,16,14,8,20,9
16,22,21,15,10,17,9
17,10,16,18,23,11,22
18,17,23,11,12,24
19,14,20,26,13,25
20,15,14,21,26,27,19
21,22,16,15,28,27,20
22,16,21,29,28,17,23
23,18,17,24,22,29,30
24,30,36,18,12,23
25,31,26,19,13
26,20,27,19,32,31,25
27,33,28,21,20,26,32
28,27,33,29,22,21,34
29,22,28,30,35,23,34
30,36,24,35,29,23
31,26,25,32
32,27,33,26,31
33,27,28,34,32
34,28,33,29,35
35,30,36,29,34
36,30,24,35
