crystals/tinyCircle1_8.csv
"looking for differences bw old freespace (inclusive dist) and freespacepoly, both in terms of runtime and S value"
rad,N,S_old,runtime,S_poly,runtime
5,281,-714.3771937162427,5.203576326370239,-714.9158771433451,4.796104907989502
10,281,-703.5729223845779,11.982937335968018,-683.009581143527,12.78134799003601
15,281,-692.259941571154,29.907439470291138,-694.189927371523,29.173238039016724
20,281,-687.5490410092472,62.48536133766174,-710.8473597108481,55.39245343208313
25,281,-687.6343695694512,134.85159850120544,-707.1935388560864,79.31973552703857
30,281,-698.774968949158,332.53916215896606,-707.0683054498287,127.47938513755798
35,281,-710.4938690424818,757.0153255462646,-712.9734987397411,178.68322777748108
