5
79,79,371,79,371,371,79,371
1,119,312.9,0
2,130.66,316.61,0
3,223.59,96.537,0
4,212.4,95.538,0
5,200.51,89.923,0
6,192.85,97.489,0
7,112.84,163.83,0
8,105.28,170.6,0
9,95.616,179,0
10,99.474,188.61,0
11,116.15,292.38,0
12,118.29,302.24,0
13,111.96,320.08,0
14,122.33,324.09,0
15,132.63,326.6,0
16,141.7,331.43,0
17,152.06,333.81,0
18,161.93,336.21,0
19,202.1,352.06,0
20,211.87,354.78,0
21,222.92,358.73,0
22,218.46,87.519,0
23,209,83.375,0
24,199.33,79.467,0
25,191.06,85.987,0
26,183.54,93.456,0
27,175.36,99.34,0
28,167.21,106.24,0
29,158.06,113.82,0
30,126.65,141.94,0
31,119.62,149.32,0
32,110.64,153.99,0
33,102.87,160.44,0
34,95.246,168.22,0
35,86.451,174.88,0
36,88.356,186.14,0
37,91.888,195.66,0
38,91.192,205.7,0
39,93.536,216.31,0
40,95.847,226.29,0
41,103.59,268.23,0
42,105.8,278.22,0
43,106.23,288.51,0
44,108.32,298.68,0
45,109.55,308.65,0
46,103.92,326.52,0
47,113.91,330.37,0
48,124.29,334.07,0
49,133.63,337.82,0
50,143.25,341.68,0
51,154.29,343.99,0
52,163.26,348.7,0
53,172.68,352.29,0
54,182.88,355.39,0
55,192.57,359.49,0
56,202.36,362.81,0
57,213.04,365.56,0
58,223.31,368.96,0
59,218.1,77.475,0
60,207.48,73.437,0
61,197.64,69.374,0
62,189.29,76.089,0
63,181.51,82.828,0
64,172.98,89.507,0
65,165.47,96.193,0
66,157.51,103.59,0
67,148.86,109.6,0
68,140.76,116.15,0
69,132.24,123.74,0
70,124.29,130.13,0
71,116.49,137.27,0
72,108.83,143.8,0
73,100.89,150.19,0
74,93.243,157.32,0
75,84.788,164.25,0
76,76.868,171.18,0
77,78.464,181.76,0
78,80.232,192.17,0
79,81.591,202.32,0
80,83.966,213.04,0
81,85.527,223.03,0
82,86.349,233.05,0
83,88.113,243.13,0
84,90.856,253.97,0
85,92.698,264.78,0
86,95.792,274.58,0
87,96.411,284.85,0
88,97.957,295.27,0
89,99.695,305.5,0
90,101.77,315.41,0
91,96.348,333.14,0
92,105.99,336.75,0
93,115.72,340.3,0
94,125.92,344.27,0
95,135.31,347.97,0
96,145.76,351.77,0
97,155.26,355.07,0
98,165.02,358.89,0
99,174.77,362.15,0
100,184.5,365.55,0
101,194.38,370.09,0
102,204.17,372.86,0
103,213.76,375.88,0
104,223.5,379.11,0
105,215.99,67.645,0
106,205.5,62.666,0
107,195.54,59.436,0
108,187.38,65.857,0
109,179.42,72.8,0
110,171.42,79.427,0
111,163.28,86.018,0
112,155.69,93.542,0
113,147.09,99.66,0
114,139.14,105.99,0
115,131.03,113.1,0
116,123.01,119.71,0
117,114.9,126.25,0
118,107.14,133.44,0
119,99.457,139.97,0
120,91.303,146.98,0
121,83.238,154.22,0
