5
50,50,50,150,150,150,150,50
1,100,100
2,94.85,108.92
3,105.15,108.92
4,110.3,100
5,105.15,91.08
6,94.85,91.08
7,89.7,100
8,89.7,117.84
9,100,117.84
10,110.3,117.84
11,115.45,108.92
12,120.6,100
13,115.45,91.08
14,110.3,82.16
15,100,82.16
16,89.7,82.16
17,84.55,91.08
18,79.4,100
19,84.55,108.92
20,84.55,126.76
21,94.85,126.76
22,105.15,126.76
23,115.45,126.76
24,120.6,117.84
25,125.75,108.92
26,130.9,100
27,125.75,91.08
28,120.6,82.16
29,115.45,73.24
30,105.15,73.24
31,94.85,73.24
32,84.55,73.24
33,79.4,82.16
34,74.25,91.08
35,69.1,100
36,74.25,108.92
37,79.4,117.84
38,79.4,135.68
39,89.7,135.68
40,100,135.68
41,110.3,135.68
42,120.6,135.68
43,125.75,126.76
44,130.9,117.84
45,136.05,108.92
46,141.2,100
47,136.05,91.08
48,130.9,82.16
49,125.75,73.24
50,120.6,64.32
51,110.3,64.32
52,100,64.32
53,89.7,64.32
54,79.4,64.32
55,74.25,73.24
56,69.1,82.16
57,63.95,91.08
58,58.8,100
59,63.95,108.92
60,69.1,117.84
61,74.25,126.76
62,74.25,144.6
63,84.55,144.6
64,94.85,144.6
65,105.15,144.6
66,115.45,144.6
67,125.75,144.6
68,130.9,135.68
69,136.05,126.76
70,141.2,117.84
71,146.35,108.92
72,151.5,100
73,146.35,91.08
74,141.2,82.16
75,136.05,73.24
76,130.9,64.32
77,125.75,55.4
78,115.45,55.4
79,105.15,55.4
80,94.85,55.4
81,84.55,55.4
82,74.25,55.4
83,69.1,64.32
84,63.95,73.24
85,58.8,82.16
86,53.65,91.08
87,48.5,100
88,53.65,108.92
89,58.8,117.84
90,63.95,126.76
91,69.1,135.68
92,69.1,153.52
93,79.4,153.52
94,89.7,153.52
95,100,153.52
96,110.3,153.52
97,120.6,153.52
98,130.9,153.52
99,136.05,144.6
100,141.2,135.68
101,146.35,126.76
102,151.5,117.84
103,156.65,108.92
104,161.8,100
105,156.65,91.08
106,151.5,82.16
107,146.35,73.24
108,141.2,64.32
109,136.05,55.4
110,130.9,46.48
111,120.6,46.48
112,110.3,46.48
113,100,46.48
114,89.7,46.48
115,79.4,46.48
116,69.1,46.48
117,63.95,55.4
118,58.8,64.32
119,53.65,73.24
120,48.5,82.16
121,43.35,91.08
122,38.2,100
123,43.35,108.92
124,48.5,117.84
125,53.65,126.76
126,58.8,135.68
127,63.95,144.6
128,63.95,162.44
129,74.25,162.44
130,84.55,162.44
131,94.85,162.44
132,105.15,162.44
133,115.45,162.44
134,125.75,162.44
135,136.05,162.44
136,141.2,153.52
137,146.35,144.6
138,151.5,135.68
139,156.65,126.76
140,161.8,117.84
141,166.95,108.92
142,172.1,100
143,166.95,91.08
144,161.8,82.16
145,156.65,73.24
146,151.5,64.32
147,146.35,55.4
148,141.2,46.48
149,136.05,37.56
150,125.75,37.56
151,115.45,37.56
152,105.15,37.56
153,94.85,37.56
154,84.55,37.56
155,74.25,37.56
156,63.95,37.56
157,58.8,46.48
158,53.65,55.4
159,48.5,64.32
160,43.35,73.24
161,38.2,82.16
162,33.05,91.08
163,27.9,100
164,33.05,108.92
165,38.2,117.84
166,43.35,126.76
167,48.5,135.68
168,53.65,144.6
169,58.8,153.52
170,58.8,171.36
171,69.1,171.36
172,79.4,171.36
173,89.7,171.36
174,100,171.36
175,110.3,171.36
176,120.6,171.36
177,130.9,171.36
178,141.2,171.36
179,146.35,162.44
180,151.5,153.52
181,156.65,144.6
182,161.8,135.68
183,166.95,126.76
184,172.1,117.84
185,177.25,108.92
186,182.4,100
187,177.25,91.08
188,172.1,82.16
189,166.95,73.24
190,161.8,64.32
191,156.65,55.4
192,151.5,46.48
193,146.35,37.56
194,141.2,28.64
195,130.9,28.64
196,120.6,28.64
197,110.3,28.64
198,100,28.64
199,89.7,28.64
200,79.4,28.64
201,69.1,28.64
202,58.8,28.64
203,53.65,37.56
204,48.5,46.48
205,43.35,55.4
206,38.2,64.32
207,33.05,73.24
208,27.9,82.16
209,22.75,91.08
210,17.6,100
211,22.75,108.92
212,27.9,117.84
213,33.05,126.76
214,38.2,135.68
215,43.35,144.6
216,48.5,153.52
217,53.65,162.44
218,53.65,180.28
219,63.95,180.28
220,74.25,180.28
221,84.55,180.28
222,94.85,180.28
223,105.15,180.28
224,115.45,180.28
225,125.75,180.28
226,136.05,180.28
227,146.35,180.28
228,151.5,171.36
229,156.65,162.44
230,161.8,153.52
231,166.95,144.6
232,172.1,135.68
233,177.25,126.76
234,182.4,117.84
235,187.55,108.92
236,192.7,100
237,187.55,91.08
238,182.4,82.16
239,177.25,73.24
240,172.1,64.32
241,166.95,55.4
242,161.8,46.48
243,156.65,37.56
244,151.5,28.64
245,146.35,19.719
246,136.05,19.719
247,125.75,19.719
248,115.45,19.719
249,105.15,19.719
250,94.85,19.719
251,84.55,19.719
252,74.25,19.719
253,63.95,19.719
254,53.65,19.719
255,48.5,28.64
256,43.35,37.56
257,38.2,46.48
258,33.05,55.4
259,27.9,64.32
260,22.75,73.24
261,17.6,82.16
262,12.45,91.08
263,7.3,100
264,12.45,108.92
265,17.6,117.84
266,22.75,126.76
267,27.9,135.68
268,33.05,144.6
269,38.2,153.52
270,43.35,162.44
271,48.5,171.36
